__,hs300,zz500,sz50
2015/01/12 10:40,3542.4,5457.4,2603.8
2015/01/12 10:45,3539.4,5460.2,2605.2
2015/01/12 10:50,3556,5458,2604.4
2015/01/12 10:55,3547.4,5390,2579.8
2015/01/12 11:00,3550.6,5386.4,2578.2
2015/01/12 11:05,3550.2,5390.2,2579.8
2015/01/12 11:10,3546.6,5393.8,2580.6
2015/01/12 11:15,3540.6,5392,2579.8
2015/01/12 11:20,3510.4,5392.4,2580.2
2015/01/12 11:25,3482.8,5394.2,2580.8
2015/01/12 11:30,3475,5393.2,2580
2015/01/12 13:00,3473,5348.2,2535.8
2015/01/12 13:05,3482,5347.4,2535.2
2015/01/12 13:10,3471.6,5347.8,2535
2015/01/12 13:15,3479.2,5350.8,2536
2015/01/12 13:20,3477,5351,2536
2015/01/12 13:25,3474,5351.6,2536.2
2015/01/12 13:30,3471.6,5349.4,2535.2
2015/01/12 13:35,3487.6,5351.6,2535.8
2015/01/12 13:40,3491.2,5350,2534.6
2015/01/12 13:45,3490.2,5350.8,2535
2015/01/12 13:50,3493,5353.2,2536.2
2015/01/12 13:55,3496,5352.2,2535.8
2015/01/12 14:00,3494,5353.2,2536.2
2015/01/12 14:05,3492,5351.2,2535.6
2015/01/12 14:10,3493.8,5351.6,2535.4
2015/01/12 14:15,3475.6,5353.4,2536.2
2015/01/12 14:20,3547,5352.4,2536
2015/01/12 14:25,3551.2,5350,2534.8
2015/01/12 14:30,3550.2,5347.2,2533.4
2015/01/12 14:35,3522.8,5345.6,2532.6
2015/01/12 14:40,3532.6,5343.2,2531.4
2015/01/12 14:45,3525,5342.2,2531.2
2015/01/12 14:50,3544.4,5343.6,2532.6
2015/01/12 14:55,3533.8,5350,2564.8
2015/01/12 15:00,3529.8,5346.4,2563.2
2015/01/12 15:05,3532,5350.2,2564.8
2015/01/12 15:10,3534.4,5353.8,2565.6
2015/01/12 15:15,3537.6,5351,2564.2
2015/01/13 09:15,3531.2,5355.2,2546.6
2015/01/13 09:20,3530.4,5355.2,2546.6
2015/01/13 09:25,3527.8,5361,2548.8
2015/01/13 09:30,3536.2,5356.8,2547.4
2015/01/13 09:35,3533,5354.2,2546.2
2015/01/13 09:40,3536.8,5358.6,2548.2
2015/01/13 09:45,3545.6,5360.6,2548.2
2015/01/13 09:50,3541,5359.6,2547.8
2015/01/13 09:55,3541.6,5359.6,2548
2015/01/13 10:00,3537,5361.4,2548.6
2015/01/13 10:05,3537.8,5361,2548.2
2015/01/13 10:10,3551.8,5361.4,2548
2015/01/13 10:15,3550.2,5364.4,2549
2015/01/13 10:20,3545.2,5364.6,2549
2015/01/13 10:25,3547.6,5365.2,2549.2
2015/01/13 10:30,3553.4,5363,2548.2
2015/01/13 10:35,3564.2,5365.2,2548.8
2015/01/13 10:40,3559.6,5363.6,2547.6
2015/01/13 10:45,3535,5402.4,2563.2
2015/01/13 10:50,3540.4,5402.4,2563.2
2015/01/13 10:55,3541.6,5402.4,2563.2
2015/01/13 11:00,3540.4,5402.4,2563.2
2015/01/13 11:05,3523.4,5402.4,2563.2
2015/01/13 11:10,3529,5398,2537.4
2015/01/13 11:15,3533.8,5395.2,2536.4
2015/01/13 11:20,3526,5400,2538.4
2015/01/13 11:25,3543.6,5402.6,2538.6
2015/01/13 11:30,3541.8,5400.6,2537.8
2015/01/13 13:00,3541,5406.8,2539
2015/01/13 13:05,3541.8,5404.8,2538
2015/01/13 13:10,3527.2,5402.4,2536.6
2015/01/13 13:15,3526.6,5400.4,2535.6
2015/01/13 13:20,3531.8,5398.4,2534.8
2015/01/13 13:25,3535,5396.8,2534.8
2015/01/13 13:30,3541,5398,2535.6
2015/01/13 13:35,3547,5397.8,2535.2
2015/01/13 13:40,3556.8,5399.2,2535.6
2015/01/13 13:45,3543.4,5401.2,2536.2
2015/01/13 13:50,3544.2,5406.2,2538.4
2015/01/13 13:55,3535.6,5406,2538.8
2015/01/13 14:00,3550,5406.6,2539.6
2015/01/13 14:05,3544.6,5408.4,2541.2
2015/01/13 14:10,3537.2,5410,2541.2
2015/01/13 14:15,3527.4,5408.8,2540
2015/01/13 14:20,3524.8,5409.2,2540.2
2015/01/13 14:25,3505.8,5409.2,2540.2
2015/01/13 14:30,3506,5410.2,2540.6
2015/01/13 14:35,3521,5413.8,2542.2
2015/01/13 14:40,3513,5413.8,2542.4
2015/01/13 14:45,3512.8,5412.2,2541
2015/01/13 14:50,3517,5413,2541
2015/01/13 14:55,3516.4,5410.2,2539.8
2015/01/13 15:00,3522.2,5396.8,2524.8
2015/01/13 15:05,3527,5396.6,2524.6
2015/01/13 15:10,3530.4,5413.2,2528.4
2015/01/13 15:15,3529.6,5417.8,2529.6
2015/01/14 09:15,3544.6,5417.6,2539.2
2015/01/14 09:20,3540.6,5418,2540.4
2015/01/14 09:25,3541,5417.6,2539.2
2015/01/14 09:30,3540.6,5418.8,2539.8
2015/01/14 09:35,3540,5423.8,2541.6
2015/01/14 09:40,3544.6,5421.8,2540.2
2015/01/14 09:45,3545.6,5423.4,2541.2
2015/01/14 09:50,3553.8,5421.8,2540.4
2015/01/14 09:55,3551.8,5423.4,2541.2
2015/01/14 10:00,3546.6,5423.6,2540.6
2015/01/14 10:05,3553.2,5424.2,2541
2015/01/14 10:10,3541.6,5427.6,2541.6
2015/01/14 10:15,3544.2,5419.2,2540
2015/01/14 10:20,3540,5417,2539
2015/01/14 10:25,3529.8,5422,2541.2
2015/01/14 10:30,3537.2,5423.6,2541
2015/01/14 10:35,3532.2,5423.2,2541
2015/01/14 10:40,3538.6,5421.6,2540.4
2015/01/14 10:45,3534,5424.8,2541.8
2015/01/14 10:50,3533.2,5424,2541
2015/01/14 10:55,3545,5423.6,2540.6
2015/01/14 11:00,3546,5426.8,2541.6
2015/01/14 11:05,3544.6,5418.2,2539.6
2015/01/14 11:10,3543.2,5417.8,2539.4
2015/01/14 11:15,3545.6,5423.2,2541.6
2015/01/14 11:20,3553,5421.8,2540.2
2015/01/14 11:25,3538.8,5422.2,2540.6
2015/01/14 11:30,3536.2,5422,2540.6
2015/01/14 13:00,3537.2,5425.6,2540.4
2015/01/14 13:05,3533.8,5423.8,2539.2
2015/01/14 13:10,3528.8,5420.6,2537.6
2015/01/14 13:15,3532.4,5420.2,2537.8
2015/01/14 13:20,3526.2,5418.2,2537.4
2015/01/14 13:25,3528.8,5419,2538
2015/01/14 13:30,3536,5418.6,2537.6
2015/01/14 13:35,3536,5418.8,2549.8
2015/01/14 13:40,3529.4,5420.4,2550.8
2015/01/14 13:45,3514.6,5420.4,2550.8
2015/01/14 13:50,3515.4,5420.4,2550.8
2015/01/14 13:55,3524.6,5420.4,2550.8
2015/01/14 14:00,3522.2,5420.4,2550.8
2015/01/14 14:05,3519,5420.4,2550.8
2015/01/14 14:10,3524.8,5420.4,2550.8
2015/01/14 14:15,3517.4,5420.4,2550.8
2015/01/14 14:20,3504.4,5420.4,2550.8
2015/01/14 14:25,3492,5420.4,2550.8
2015/01/14 14:30,3496.6,5420.4,2550.8
2015/01/14 14:35,3492.6,5395,2537.2
2015/01/14 14:40,3476.4,5392.6,2536.2
2015/01/14 14:45,3480.6,5364,2527
2015/01/14 14:50,3495.2,5362.8,2526.4
2015/01/14 14:55,3500.2,5365.8,2527.6
2015/01/14 15:00,3513,5368.6,2528.2
2015/01/14 15:05,3511,5367.8,2527.6
2015/01/14 15:10,3511.8,5368.8,2528.6
2015/01/14 15:15,3504.2,5368,2527.8
2015/01/15 09:15,3505.8,5417.6,2548.4
2015/01/15 09:20,3513.8,5422.8,2551.4
2015/01/15 09:25,3509.8,5420.8,2550
2015/01/15 09:30,3509.2,5423.2,2551.2
2015/01/15 09:35,3509,5420.8,2550.2
2015/01/15 09:40,3505.2,5423,2551
2015/01/15 09:45,3496,5423.6,2551
2015/01/15 09:50,3489,5425,2551.4
2015/01/15 09:55,3491.8,5426.8,2551.8
2015/01/15 10:00,3492.2,5428.8,2552.8
2015/01/15 10:05,3486.8,5426.8,2551.8
2015/01/15 10:10,3499,5424.6,2551.6
2015/01/15 10:15,3507,5428.2,2551.6
2015/01/15 10:20,3507.4,5427.2,2550.8
2015/01/15 10:25,3509,5427.6,2551.2
2015/01/15 10:30,3539.4,5429.8,2552.2
2015/01/15 10:35,3531.8,5427.2,2551
2015/01/15 10:40,3525.4,5430,2552.4
2015/01/15 10:45,3525.8,5427.8,2550.6
2015/01/15 10:50,3520.2,5428,2551.2
2015/01/15 10:55,3531.2,5429.6,2552.2
2015/01/15 11:00,3530.8,5427.8,2551.6
2015/01/15 11:05,3528.2,5405.6,2559.8
2015/01/15 11:10,3502.2,5427,2559.2
2015/01/15 11:15,3505.8,5424.6,2558.2
2015/01/15 11:20,3509,5429,2560.2
2015/01/15 11:25,3515.2,5431.2,2560.2
2015/01/15 11:30,3532.2,5430,2559.8
2015/01/15 13:00,3536.6,5435.8,2560.8
2015/01/15 13:05,3537,5433.8,2559.8
2015/01/15 13:10,3546.8,5431.8,2558.6
2015/01/15 13:15,3539.2,5430.2,2557.8
2015/01/15 13:20,3537.4,5426.8,2556.4
2015/01/15 13:25,3539.2,5425.2,2556.4
2015/01/15 13:30,3538.6,5426.4,2557.2
2015/01/15 13:35,3534.4,5426.8,2557
2015/01/15 13:40,3537,5429,2557.8
2015/01/15 13:45,3535.8,5430.8,2558.2
2015/01/15 13:50,3546,5435.2,2560.2
2015/01/15 13:55,3541.2,5435,2560.6
2015/01/15 14:00,3543.6,5435.6,2561.4
2015/01/15 14:05,3553.8,5438.2,2562.4
2015/01/15 14:10,3564.2,5439,2563
2015/01/15 14:15,3574.2,5437.8,2561.8
2015/01/15 14:20,3577.4,5438.2,2562
2015/01/15 14:25,3596.2,5438.4,2562
2015/01/15 14:30,3596.6,5440.2,2599.4
2015/01/15 14:35,3578.4,5437.4,2598.2
2015/01/15 14:40,3585.4,5435.6,2613.8
2015/01/15 14:45,3598,5434.8,2613.4
2015/01/15 14:50,3590,5437.8,2614.6
2015/01/15 14:55,3603.4,5440.2,2615
2015/01/15 15:00,3606.4,5448.8,2634
2015/01/15 15:05,3615.4,5448.2,2633.8
2015/01/15 15:10,3619.8,5453,2635.8
2015/01/15 15:15,3625,5473.6,2643.4
2015/01/16 09:15,3618.8,5467,2615.8
2015/01/16 09:20,3619.6,5461.8,2614.2
2015/01/16 09:25,3619.2,5459.6,2613.2
2015/01/16 09:30,3620.4,5464.4,2615.4
2015/01/16 09:35,3621.2,5466.4,2615.4
2015/01/16 09:40,3616.8,5465.4,2615
2015/01/16 09:45,3621.6,5465.8,2615.4
