Date,shanghai,shenzhen
2/25/93,1410.36,3237.79
2/26/93,1339.88,3185.6
3/1/93,1199.73,3201.5
3/2/93,1245.11,3125.41
3/3/93,1231.77,3030.65
3/4/93,1159.13,3046.17
3/5/93,1109.54,2874.92
3/8/93,1209.65,2968.3
3/9/93,1137.79,2945.95
3/10/93,1188.97,3116.65
3/11/93,1261.8,3120.06
3/12/93,1236.37,3158.46
3/15/93,1171.73,3011.47
3/16/93,1222.55,3016.2
3/17/93,1202.85,2929.78
3/18/93,1184.48,2956.18
3/19/93,1174.99,2958.04
3/22/93,1036.92,2850.77
3/23/93,971.25,2843.24
3/24/93,956.97,2756.53
3/25/93,945.42,2909.66
3/26/93,1039.76,2883.71
3/29/93,970.45,2849.13
3/30/93,958.05,2889.58
3/31/93,925.91,2908.97
4/1/93,947.23,2902.97
4/2/93,944.01,2873.02
4/5/93,947.87,2847.78
4/6/93,1059.62,2868.61
4/7/93,1099.62,2946.16
4/8/93,1238.87,3023.49
4/9/93,1243.02,3009.76
4/12/93,1203.54,3015.89
4/13/93,1297.36,3025.8
4/14/93,1272.39,3004.33
4/15/93,1278.84,3006.79
4/16/93,1214.75,3036.43
4/19/93,1223.22,2993.38
4/20/93,1235.52,2983.31
4/21/93,1222.56,2982.64
4/22/93,1267.35,2937.2
4/23/93,1260.25,2921.93
4/26/93,1345.61,2943.98
4/27/93,1363.44,2922.52
4/28/93,1372.5,2931.6
4/29/93,1349.68,2882.96
4/30/93,1358.78,2894.67
5/3/93,1352.24,2852.61
5/4/93,1241.16,2847.11
5/5/93,1246.82,2752.26
5/6/93,1162.92,2680.8
5/7/93,1199.81,2679.55
5/10/93,1128.29,2608.27
5/11/93,1136.74,2556.63
5/12/93,1140.19,2644.74
5/13/93,1177.28,2718.71
5/14/93,1167.47,2727.02
5/17/93,1140.04,2619.74
5/18/93,1130.26,2652.32
5/19/93,1147.22,2617.93
5/20/93,1165.4,2586.96
5/21/93,1143.97,2525.67
5/24/93,1026.13,2429.56
5/25/93,997.95,2477.17
5/26/93,995.45,2441.84
5/27/93,963.61,2422.01
5/28/93,972.77,2437.13
5/31/93,935.48,2510.31
6/1/93,928.58,2463.35
6/2/93,1081.2,2504.9
6/3/93,1018.29,2559.4
6/4/93,1004.3,2520.81
6/7/93,1064.98,2520.4
6/8/93,1074.58,2509.43
6/9/93,1065.19,2467.85
6/10/93,1044.44,2459.26
6/11/93,1047,2392.51
6/14/93,1000.43,2323.66
6/15/93,1001.61,2350.72
6/16/93,1004.24,2321.98
6/17/93,998,2313.34
6/18/93,1005.98,2425.67
6/21/93,977.61,2364.9
6/22/93,981.13,2366.28
6/23/93,986.02,2388.14
6/24/93,980.17,2424.55
6/25/93,1006.64,2369.17
6/28/93,1002.42,2357.25
6/29/93,1028.44,2365.71
6/30/93,1007.05,2338.18
7/1/93,997.53,2302.74
7/2/93,986.98,2340.36
7/5/93,952.31,2325.08
7/6/93,897.64,2263.26
7/7/93,903.79,2249.58
7/8/93,896.16,2247.71
7/9/93,868.57,2194.12
7/12/93,845.52,2071.95
7/13/93,870.05,2051.54
7/14/93,836.39,2048.76
7/15/93,838.7,1988.44
7/16/93,846.87,1942.21
7/19/93,836.98,1836.79
7/20/93,808.21,1832.15
