Date,Open,High,Low,Close,Volume
11/2/2011,1219.62,1242.48,1219.62,1237.9,767818496
11/3/2011,1238.25,1263.21,1234.81,1261.15,807227456
11/4/2011,1260.82,1260.82,1238.92,1253.23,684028736
11/7/2011,1253.21,1261.7,1240.75,1261.12,615361152
11/8/2011,1261.12,1277.55,1254.99,1275.92,677924416
11/9/2011,1275.18,1275.18,1226.64,1229.1,887251712
11/10/2011,1229.59,1246.22,1227.7,1239.69,705854016
11/11/2011,1240.12,1266.98,1240.12,1263.86,587644928
11/14/2011,1263.85,1263.85,1246.68,1251.78,544542336
11/15/2011,1251.7,1264.25,1244.34,1257.81,637561984
11/16/2011,1257.81,1259.61,1235.67,1236.91,764548608
11/17/2011,1236.56,1237.73,1209.43,1216.13,835912896
11/18/2011,1216.19,1223.51,1211.36,1215.65,800074624
11/21/2011,1215.62,1215.62,1183.16,1192.98,753588288
11/22/2011,1192.98,1196.81,1181.65,1188.04,685834240
11/23/2011,1187.48,1187.48,1161.79,1161.79,704466048
11/25/2011,1161.41,1172.66,1158.66,1158.67,343744832
11/28/2011,1158.67,1197.35,1158.67,1192.55,751659648
11/29/2011,1192.56,1203.67,1191.8,1195.19,670504704
11/30/2011,1196.72,1247.11,1196.72,1246.96,1200224640
12/1/2011,1246.91,1251.09,1239.73,1244.58,652301568
12/2/2011,1246.03,1260.08,1243.35,1244.28,681955008
12/5/2011,1244.33,1266.73,1244.33,1257.08,697457024
12/6/2011,1257.19,1266.03,1253.03,1258.47,607905408
12/7/2011,1258.14,1267.06,1244.8,1261.01,732738432
12/8/2011,1260.87,1260.87,1231.47,1234.35,724592192
12/9/2011,1234.48,1258.25,1234.48,1255.19,618210496
12/12/2011,1255.05,1255.05,1227.25,1236.47,629896768
12/13/2011,1236.83,1249.86,1219.43,1225.73,747075328
12/14/2011,1225.73,1225.73,1209.47,1211.82,720140288
12/15/2011,1212.12,1225.6,1212.12,1215.75,663378688
12/16/2011,1216.09,1231.04,1215.2,1219.66,1426520832
12/19/2011,1219.74,1224.57,1202.37,1205.35,587340224
12/20/2011,1205.72,1242.82,1205.72,1241.31,754007680
12/21/2011,1241.25,1245.09,1229.51,1243.72,749174656
12/22/2011,1243.72,1255.22,1243.72,1254,640867392
12/23/2011,1254,1265.42,1254,1265.33,366478656
12/27/2011,1265.02,1269.37,1262.3,1265.43,355395232
12/28/2011,1265.38,1265.85,1248.64,1249.64,399877472
12/29/2011,1249.75,1263.54,1249.75,1263.02,387516416
12/30/2011,1262.82,1264.12,1257.46,1257.61,431155072
1/3/2012,1258.86,1284.62,1258.86,1277.06,678971776
1/4/2012,1277.03,1278.73,1268.1,1277.3,640869440
1/5/2012,1277.3,1283.05,1265.26,1281.06,676180992
1/6/2012,1280.93,1281.84,1273.34,1277.81,596105152
1/9/2012,1277.83,1281.99,1274.55,1280.7,592425728
1/10/2012,1280.77,1296.46,1280.77,1292.08,665245376
1/11/2012,1292.02,1293.8,1285.41,1292.48,577531904
1/12/2012,1292.48,1296.82,1285.77,1295.5,590075648
1/13/2012,1294.82,1294.82,1277.58,1289.09,665046464
1/17/2012,1290.22,1303,1290.22,1293.67,654204800
1/18/2012,1293.65,1308.11,1290.99,1308.04,704686400
1/19/2012,1308.07,1315.49,1308.07,1314.5,682343744
1/20/2012,1314.49,1315.38,1309.17,1315.38,893773376
1/23/2012,1315.29,1322.28,1309.89,1316,597476352
1/24/2012,1315.96,1315.96,1306.06,1314.65,602734336
1/25/2012,1314.4,1328.3,1307.65,1326.05,715988288
1/26/2012,1326.28,1333.47,1313.6,1318.43,713939968
1/27/2012,1318.25,1320.06,1311.72,1316.33,684854528
1/30/2012,1316.16,1316.16,1300.49,1313.01,585224960
1/31/2012,1313.53,1321.41,1306.69,1312.41,805851584
