Date,Price
6/28/2016,1.311395
6/29/2016,1.306655
6/30/2016,1.300500
7/1/2016,1.298135
7/2/2016,1.291985
7/3/2016,1.291065
7/4/2016,1.291065
7/5/2016,1.285050
7/6/2016,1.295075
7/7/2016,1.298600
7/8/2016,1.300815
7/9/2016,1.305365
7/10/2016,1.303905
7/11/2016,1.303905
7/12/2016,1.312770
7/13/2016,1.300250
7/14/2016,1.295415
7/15/2016,1.289000
7/16/2016,1.295920
7/17/2016,1.296750
7/18/2016,1.296750
7/19/2016,1.296605
7/20/2016,1.303305
7/21/2016,1.304760
7/22/2016,1.307235
7/23/2016,1.317420
7/24/2016,1.313050
7/25/2016,1.313050
7/26/2016,1.321755
7/27/2016,1.320045
7/28/2016,1.321735
7/29/2016,1.317615
7/30/2016,1.306030
7/31/2016,1.304155
8/1/2016,1.304155
8/2/2016,1.309655
8/3/2016,1.310195
8/4/2016,1.308000
8/5/2016,1.301450
8/6/2016,1.316860
8/7/2016,1.317530
8/8/2016,1.317530
8/9/2016,1.315645
8/10/2016,1.313315
8/11/2016,1.304370
8/12/2016,1.296355
8/13/2016,1.296250
8/14/2016,1.295640
8/15/2016,1.295640
8/16/2016,1.291850
8/17/2016,1.285035
8/18/2016,1.287315
8/19/2016,1.277545
8/20/2016,1.287650
8/21/2016,1.286490
8/22/2016,1.286750
8/23/2016,1.296045
8/24/2016,1.290010
8/25/2016,1.293530
8/26/2016,1.293400
8/27/2016,1.298950
8/28/2016,1.300600
8/29/2016,1.300050
8/30/2016,1.300935
8/31/2016,1.307600
9/1/2016,1.312200
9/2/2016,1.299840
9/3/2016,1.299385
9/4/2016,1.299500
9/5/2016,1.299450
9/6/2016,1.293175
9/7/2016,1.283325
9/8/2016,1.289750
9/9/2016,1.291255
9/10/2016,1.304925
9/11/2016,1.304890
9/12/2016,1.307800
9/13/2016,1.316600
9/14/2016,1.316785
9/15/2016,1.318230
9/16/2016,1.313960
9/17/2016,1.321205
9/18/2016,1.321360
9/19/2016,1.321350
9/20/2016,1.319995
9/21/2016,1.322710
9/22/2016,1.319990
9/23/2016,1.305205
9/24/2016,1.317220
9/25/2016,1.318250
9/26/2016,1.318250
9/27/2016,1.320550
9/28/2016,1.321665
9/29/2016,1.320665
9/30/2016,1.316280
10/1/2016,1.311865
10/2/2016,1.312770
10/3/2016,1.313150
10/4/2016,1.312265
10/5/2016,1.320785
10/6/2016,1.316600
10/7/2016,1.321250
10/8/2016,1.327265
10/9/2016,1.329650
10/10/2016,1.317280
10/11/2016,1.326825
10/12/2016,1.324510
10/13/2016,1.319650
10/14/2016,1.311545
10/15/2016,1.314045
10/16/2016,1.314350
10/17/2016,1.313285
10/18/2016,1.310860
10/19/2016,1.311665
10/20/2016,1.320220
10/21/2016,1.332785
10/22/2016,1.333150
10/23/2016,1.333150
10/24/2016,1.338945
10/25/2016,1.332850
10/26/2016,1.335745
10/27/2016,1.338885
10/28/2016,1.338350
10/29/2016,1.339575
10/30/2016,1.339550
10/31/2016,1.340720
11/1/2016,1.340155
11/2/2016,1.339620
11/3/2016,1.339710
11/4/2016,1.339905
11/5/2016,1.340325
11/6/2016,1.340550
11/7/2016,1.338800
11/8/2016,1.333650
11/9/2016,1.341210
11/10/2016,1.347455
11/11/2016,1.351480
11/12/2016,1.354090
11/13/2016,1.354090
11/14/2016,1.358130
11/15/2016,1.347680
11/16/2016,1.340625
11/17/2016,1.343310
11/18/2016,1.351770
11/19/2016,1.350690
11/20/2016,1.350650
11/21/2016,1.343985
11/22/2016,1.342995
11/23/2016,1.347350
11/24/2016,1.348680
11/25/2016,1.351325
11/26/2016,1.352095
11/27/2016,1.352450
11/28/2016,1.341425
11/29/2016,1.344540
11/30/2016,1.343940
12/1/2016,1.332745
12/2/2016,1.329905
12/3/2016,1.329305
12/4/2016,1.329150
12/5/2016,1.326410
12/6/2016,1.328700
12/7/2016,1.325165
12/8/2016,1.322105
12/9/2016,1.316635
12/10/2016,1.318030
12/11/2016,1.318150
12/12/2016,1.314020
12/13/2016,1.311885
