cost,time,status,seed,config_id,instance_id
0.01764,0.01764,StatusType.SUCCESS,1298508491,38,instances/gzip_vc1044.cnf
0.011086,0.011086,StatusType.SUCCESS,610401323,38,instances/gzip_vc1041.cnf
0.019034,0.019034,StatusType.SUCCESS,1050945107,30,instances/gzip_vc1031.cnf
0.045072,0.045072,StatusType.SUCCESS,320883483,39,instances/gzip_vc1027.cnf
0.006467,0.006467,StatusType.SUCCESS,513621141,30,instances/gzip_vc1021.cnf
0.026132,0.026132,StatusType.SUCCESS,320883483,40,instances/gzip_vc1027.cnf
0.006412,0.006412,StatusType.SUCCESS,621042495,30,instances/gzip_vc1021.cnf
0.028904,0.028904,StatusType.SUCCESS,438667483,41,instances/gzip_vc1020.cnf
0.017326,0.017326,StatusType.SUCCESS,1289917162,30,instances/gzip_vc1018.cnf
0.005675,0.005675,StatusType.SUCCESS,1179591951,42,instances/gzip_vc1012.cnf
0.003169,0.003169,StatusType.SUCCESS,262150548,30,instances/gzip_vc1012.cnf
0.009184,0.009184,StatusType.SUCCESS,610401323,43,instances/gzip_vc1041.cnf
0.017176,0.017176,StatusType.SUCCESS,1050945107,43,instances/gzip_vc1031.cnf
0.019277,0.019277,StatusType.SUCCESS,2051782562,43,instances/gzip_vc1020.cnf
0.0135,0.0135,StatusType.SUCCESS,1319006753,43,instances/gzip_vc1018.cnf
0.006375,0.006375,StatusType.SUCCESS,44500126,43,instances/gzip_vc1021.cnf
0.015495,0.015495,StatusType.SUCCESS,878115723,43,instances/gzip_vc1031.cnf
0.025763,0.025763,StatusType.SUCCESS,1909519948,43,instances/gzip_vc1027.cnf
0.006408,0.006408,StatusType.SUCCESS,621042495,43,instances/gzip_vc1021.cnf
0.018783,0.018783,StatusType.SUCCESS,852851176,43,instances/gzip_vc1020.cnf
0.023481,0.023481,StatusType.SUCCESS,320883483,43,instances/gzip_vc1027.cnf
0.030098,0.030098,StatusType.SUCCESS,1208933503,43,instances/gzip_vc1038.cnf
0.035553,0.035553,StatusType.SUCCESS,992203680,43,instances/gzip_vc1038.cnf
0.011067,0.011067,StatusType.SUCCESS,457774255,43,instances/gzip_vc1041.cnf
0.028533,0.028533,StatusType.SUCCESS,1413675217,43,instances/gzip_vc1027.cnf
0.016709,0.016709,StatusType.SUCCESS,438667483,43,instances/gzip_vc1020.cnf
0.015485,0.015485,StatusType.SUCCESS,116213680,43,instances/gzip_vc1031.cnf
0.01583,0.01583,StatusType.SUCCESS,1298508491,43,instances/gzip_vc1044.cnf
0.019675,0.019675,StatusType.SUCCESS,2138822019,43,instances/gzip_vc1044.cnf
0.015564,0.015564,StatusType.SUCCESS,710413845,43,instances/gzip_vc1031.cnf
0.017375,0.017375,StatusType.SUCCESS,399713351,43,instances/gzip_vc1020.cnf
0.003083,0.003083,StatusType.SUCCESS,262150548,43,instances/gzip_vc1012.cnf
0.014542,0.014542,StatusType.SUCCESS,1205532000,43,instances/gzip_vc1018.cnf
